,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803891,株式会社B-LIFE計画　ごゆるり倶楽部,,075-204-5634,京都府京都市北区紫野南舟岡町３９番地１０, https://goyururi.com/,https://xn--pckua2a7gp15o89zb.com/jb/28db802126b1b3765fc7b335033b3a22,デイサービスでの介護職員兼生活相談員です／デイサービスごゆるり倶楽部,ニューアース（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
90278,株式会社B-LIFE計画ごゆるり倶楽部・紫野,,075-204-5634,京都府京都市北区紫野南舟岡町39-10,https://xn--pckua2a7gp15o89zb.com/jb/fb7658ca6cf419b64a6798ec3b785566,http://goyururi.com/,介護職経験不問,ビイサイド（介護）,,,,,地域密着型通所介護,,,,,,アルバイト・パート,,,,,,,,,,,
88464,株式会社B-LIFE計画ごゆるり倶楽部上賀茂,,075-203-5201,京都府京都市北区上賀茂畔勝町63-1,https://xn--pckua2a7gp15o89zb.com/jb/021121367f1f1d538e41c3906cd81651,http://goyururi.com/,介護職小規模デイサービス,ビイサイド（介護）,,,,,,,,,,,アルバイト・パート,,,,,,,,,,,
886561,株式会社BIGTREE向日葵のひざし岩津,,0564-79-8877,愛知県岡崎市岩津町2丁目6-4,https://himawarinohizashi.com/iwazu/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l515a6bf5149828ac4137f37d05ca87f0&p=t%2BAK7k0GmMUr0ZRss/MBm2N8WUJBLGMyXVQyWDL4itxNlV9xjT3edGdvGacYgHjAu9MpCkIUX2WQXjor5jKffv9HT0I%2B65WHcpeWl2IOVuK%2B1LKQmE3PUzknOb/6YOA3yPIO26/I9VtrdlETv8pGQpva26DgKc7dphM0D32D7W97S6gqy51nRefgDydxshdUyvDy0ULD0Gz/r6kXnA2He9tqGBnu6f3E6261m2KZAzLcoST0Y30LQIFqgcnaomSZb5RPpaT0ZOYJjl5qKuOjqGVVFtmRLmEgaRpE7lnHhNMK4YxdQiiyvAAkcaGVkbMV7Z%2Bg8D1Rr2q1WDwluW48GKH148qrFhwf2W5gmuQVbHdP/t1tFTKHxdS6AVNsqrAqdVxvs62BpvOwtpWHXbqQqMZmLercGYXR/WdvnHcgO0IcRXW8WYfF79cNV9GtaeIDmLkp9BG7ECuFso0343gdFSkQ8fq6ekiM6khj0ujxQPbR1%2BsQC6wdQZ2XDC6j%2Bm%2BBeRLF/zVRvtudW9z3agKRelFhf1cYcuEwMpBm4lyKPoUdrFljVp0gndgsTxmn2BKh&ph=548f8dcec1f5&phv=1,介護職員・ヘルパー／有料老人ホーム／介護福祉士／日勤・夜勤,VIETA（介護）, , ,,,,介護,介護職員,,,,正社員,,,,,,,,,,,
886391,株式会社BIGTREE向日葵のひざし朝日,,0564-77-5944,愛知県豊田市朝日町6丁目31,https://himawarinohizashi.com/asahi/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l13e16c1ecbd9e60559a75fd423ea49a0&p=t%2BAK7k0GmMUr0ZRss/MBmzJoXdh2LQpJdj9I2s9/1ZwvyCkp%2B1V4L3CXP4aeOFVjgEOBfq5MK4UNb4LrJ8%2BnY1YtZ3Bbe2u8p1GqFeRxtPNbJv0TENR45DEhljZ3HMIQfoss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91yAMu1sU9R3cTjgA1OyV8Iec8UOZ918fvr81gB7cqpNgs2o/JWpW6eHZPqNiMrMDf/G2J/uyssyr7hlgvaY%2BLip76nO9cKLwcDVv%2BJj0OB26ir0oGmA235N2fKkL6JwIOMha3imqU2Z39MOKPjlDLRpMgDm%2BqAXCKya13trRip00tv3wwcccxplOdleeQ/FcdIDalGyQf57bOx2mGrUV0fbIXGnk4wZXMFGhDHFcHJ3e0QwTPczi8kECtVINwm2/yNdyELy8QM9gLOOtSON85ToFy1PVD%2BgVSyCerDobIV5Sp/WiA4Ne38I%2B1AiUnwupQat0FcuYYjNnizuIdnktlOokyb52tk/ES9en0k7US0%2BjxCvzq4D8126MUKyYBr53mjJdLO4S6ELTqK6XyJROHpo&ph=70ad8746f004&phv=1,介護職員・ヘルパー／有料老人ホーム／介護福祉士／日勤のみ,VIETA（介護）, , ,,,,介護,介護職,,,,正社員,,,,,,,,,,,
371245,株式会社Capt　デイサポートMAHALO岐阜,,058-255-1150,岐阜県岐阜市此花町3-4,http://www.capt.jp/,https://xn--pckua2a7gp15o89zb.com/jb/4e480f64c3388265e48636ea253fdb4f,介護・資格無し／家庭と両立しやすい／福利厚生充実／無資格・未経験可,FUJI（介護）,,,500-8333,,,介護サービス,,,,,アルバイト・パート,,,,,,,,,,,
830509,株式会社Capt デイサポートMAHALO岐阜,,058-255-1151,岐阜県岐阜市此花町3－4, ,https://xn--pckua2a7gp15o89zb.com/jbn/68b59f681c9e023ffd270c7262dcc391,介護職・ヘルパー／通所介護／デイサービス／介護福祉士優遇／マイカー通勤...,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
77859,株式会社CaptデイサポートMAHALO岐阜,,058-255-1150,岐阜市岐阜駅車7分,https://xn--pckua2a7gp15o89zb.com/jb/ef2416148d36dcc56eb31c0c4e3883f4,http://www.capt.jp/facilities,デイサービスにて介護職員,ビイサイド（介護）,,大塚　裕樹,,,,,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">アルバイト・パート</li>",,,,,,,,,,,
500038,株式会社CaptデイサポートMAHALO岐阜,,058-255-1150,岐阜県岐阜市此花町3-4,http://www.capt.jp/,https://xn--pckua2a7gp15o89zb.com/jb/5ee559fee108d9e81ac80a2268947c27?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=organic,通所介護・デイサービスセンターの介護職員,G&G（介護）,,,500-8333,,,介護,デイサポート,,,,正社員,,,,,,,,,,,
580263,株式会社CaptデイサポートMAHALO岐阜,,058-255-1150,岐阜市岐阜駅車7分,https://xn--pckua2a7gp15o89zb.com/jb/ef2416148d36dcc56eb31c0c4e3883f4,http://www.capt.jp/facilities,デイサービスにて介護職員,SOUND（介護）,,大塚　裕樹,,,,介護,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">アルバイト・パート</li>",,,,,,,,,,,
