id,company,store,tel,address,url,url_2,title,industry,mail,first_name,postnumber,people,caption,business,genre,mobile,choice,inflow,other,history,area,target,meeting,experience,price,number,start,remarks,extraction_count,send_count
378084,株式会社人力舎,,052-821-2877,愛知県名古屋市南区寺部通1丁目12番1東洋ビル2階,,,ベトナム語、中国語、ネパール語、フィリピン語,登録支援機関,,岡部浩之,4570072,,,人材関連業,登録支援機関,,,,19登-000532,,,,,,,,,,,
378196,株式会社ハウスマックス,,052-753-5344,愛知県名古屋市名東区新宿一丁目153番地6,,,ベトナム語,登録支援機関,,金原多美子,4650063,,,人材関連業,登録支援機関,,,,19登-003070,,,,,,,,,,,
378198,株式会社ユニティジャパン,,052-972-9077,愛知県名古屋市東区東桜1ー11ー1,,,ネパール語,登録支援機関,,馬場真,4600008,,,人材関連業,登録支援機関,,,,19登-003082,,,,,,,,,,,
378204,センドフォース合同会社,,052-957-2600,愛知県名古屋市東区東桜1丁目14番12号イースタンビル4F409号,,,インドネシア語、英語,登録支援機関,,岩崎奨,4610005,,,人材関連業,登録支援機関,,,,19登-003265,,,,,,,,,,,
378228,株式会社F＆Bホテルサービス,,052-931-6100,愛知県名古屋市中区東桜二丁目23番22号,,,ベトナム語、英語、中国語,登録支援機関,,佐久間健司,4600005,,,人材関連業,登録支援機関,,,,20登-003863,,,,,,,,,,,
378248,株式会社ウィズ,,052-962-7400,愛知県名古屋市中区丸の内三丁目8番8号山富丸の内ビル5階,,,英語、タガログ語、中国語、ベトナム語,登録支援機関,,中根寿浩,4600002,,,人材関連業,登録支援機関,,,,20登-004469,,,,,,,,,,,
378252,協同組合ＩＥＭ,,052-737-6108,愛知県名古屋市守山区小幡千代田16ー27,,,中国語,登録支援機関,,水本昌和,4630053,,,人材関連業,登録支援機関,,,,20登-004532,,,,,,,,,,,
378255,メカウィングス株式会社,,052-773-6535,愛知県半田市亀崎高根町六丁目14番地1アトレ亀崎駅前404号,,,ペルー語、モンゴル語、ミャンマー語,登録支援機関,,内藤久敬,4750024,,,人材関連業,登録支援機関,,,,20登-004542,,,,,,,,,,,
378263,ＴＯＭＩＴＡ国際株式会社,,052-908-2718,愛知県名古屋市西区花の木一丁目12番12号ＡＯＩビル4階東号室,,,ベトナム語,登録支援機関,,グエン　クアン　タン,4510062,,,人材関連業,登録支援機関,,,,20登-004776,,,,,,,,,,,
378269,株式会社マルタツ,,052-887-7964,愛知県あま市小橋方南山西154番地2小橋方コーポラスＡ棟1101号,,,中国語、ベトナム語,登録支援機関,,齊藤龍彦,4901212,,,人材関連業,登録支援機関,,,,20登-004805,,,,,,,,,,,
378278,ソバグループ株式会社,,052-979-2377,愛知県名古屋市中区東桜二丁目18番24号　イトーピア新栄1304,,,韓国語、中国語、ベトナム語、ネパール語,登録支援機関,,森川辰美,4600005,,,人材関連業,登録支援機関,,,,20登-005023,,,,,,,,,,,
378283,株式会社ワン・ブルー・キャリア,,052-887-8795,愛知県名古屋市名東区亀の井一丁目97番地,,,ベトナム語,登録支援機関,,長瀬信彦,4650094,,,人材関連業,登録支援機関,,,,20登-005205,,,,,,,,,,,
686868,社会福祉法人明和会,,0287-84-0077,栃木県那須烏山市大沢766番地,https://kobushinooka.com/wp/,https://xn--pckua2a7gp15o89zb.com/jb/9aa2d44090ecd52aad3f8b785834549d,特別養護老人ホーム介護職員,モンキークルー（介護）,,大貫文彦,,,,介護,特別養護老人ホーム、児童養護施設,,,,正社員,,,,,,,,,,,
711084,有限会社システック,,048-551-9571,埼玉県深谷市東方3798-2,https://www.care-sakuraen.com/,https://xn--pckua2a7gp15o89zb.com/jb/4037badbf514ad06bb580fa6f00f2b63,サービス付き高齢者向け住宅介護職員,モンキークルー（介護）,,,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
711091,社会福祉法人希望の里,,0495-76-0101,埼玉県児玉郡美里町大字白石2323-1,https://www.momoyonooka.info/,https://xn--pckua2a7gp15o89zb.com/jb/778822bb6d2667cf5b7204e278ee3a10,介護職・ヘルパー特別養護老人ホーム,モンキークルー（介護）,,,,,,介護,特別養護老人ホーム,,,,正社員,,,,,,,,,,,
711092,株式会社ひまわりケアサポート,,048-726-1111,埼玉県上尾市小泉4-19-1,https://himawari-caresupport.com/,https://xn--pckua2a7gp15o89zb.com/jb/d11dab503b62c7486f0ed01c65a579c8,介護職・ヘルパー／グループホーム,モンキークルー（介護）,,小河 元子,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
726253,社会福祉法人桐和会,,048-291-5601,埼玉県川口市大字神戸５３９番地５,https://canpan.info/,https://xn--pckua2a7gp15o89zb.com/jb/d10a02fb8d81fc87f7dd09150bb025ed,セリシール川口での介護職員募集,モンキークルー（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
737889,社会福祉法人　桐和会,,048-452-8722,埼玉県川口市新井宿250-1,https://araijuku.sakuranomori.tums.jp,https://xn--pckua2a7gp15o89zb.com/jb/160a7ec3f64e367677e842a1aba19029,介護職員・ヘルパー／介護老人保健施設／老人保健施設彩の苑,モンキークルー（介護）, , ,,,,介護,特別養護老人ホーム,,,,正社員,,,,,,,,,,,
807687,合同会社ばんどう,合同会社ばんどう,0280-48-3486,茨城県古河市大山498-4,https://www.smilebandou.com/,https://xn--pckua2a7gp15o89zb.com/jb/99b81c99a2f66277398a9b03a2e402ce,介護職員・ヘルパー,モンキークルー（介護）,,,,,,介護,居宅介護支援事業所 訪問介護事業 通所介護事業,,,,正社員,,,,,,,,,,,
807689,サンカンパニー株式会社,サンカンパニー株式会社,029-896-9672,茨城県牛久市柏田町3315番12,https://sunsunpharmacy.com/,https://xn--pckua2a7gp15o89zb.com/jb/d166de2709f7efa7621992a201699f5d,土日祝休み居宅介護支援センターでケアマネージャー／さんさん居宅介護支...,モンキークルー（介護）,,,,,,,処方せん調剤　健康や介護のご相談,,,,正社員,,,,,,,,,,,
807696,有限会社エル・エス・シー・トーブ,デイサービスセンターハート・ワン大宝,0296-44-5939,茨城県下妻市横根140番地,https://www.big-advance.site/,https://xn--pckua2a7gp15o89zb.com/jb/5413f5e460d0ad3b9131ccc6c4e39275,介護士,モンキークルー（介護）,,,,,,介護,医療，福祉 ＞ 老人福祉・介護事業,,,,正社員,,,,,,,,,,,
807700,株式会社敬陽,株式会社敬陽サービス付高齢者向け住宅楽久陽,0270-75-2285,群馬県伊勢崎市国定町2丁目1987番地1,https://www.rakuyo.info/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf608e7de39aef2334b1ae3ebfe3449c2&p=t%2BAK7k0GmMUr0ZRss/MBm1OySEvgpRnv7VwKHtQdaBtLX8jOC59X2OZxfVEpA5r1u%2BndHijPdKIh3UZI0gWFGcwICIp6UmBW9r3SfHQwpC5Xbifmz9SdM1tFMA2Jbs7rfoss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91yAMu1sU9R3cTjgA1OyV8Iec8UOZ918fvr81gB7cqpNgmk7xdt6u3bQKJ9S/rlwv0CTgsBts0P9JJj70WrgEdo076nO9cKLwcDVv%2BJj0OB26r0hf18s74NfT1Wr2wbq9nd3v0aJehy1UgLKf9T7a5PSMgDm%2BqAXCKya13trRip00tv3wwcccxplOdleeQ/FcdIDalGyQf57bOx2mGrUV0fbmRTqdD/o39yaVJswqnmHL7XDmHaznLk91Wo7eEq7fh28Ecp9om5uq%2BG1wUF%2BDlCY9gQhhXwuMEwq2bnYSaxw9hgcFfqkr3WZ5xp6DKCgvWyhgGiOmYJ4yReLTnode0t%2B&ph=238e4e795c50&phv=1,介護職員・ヘルパーサービス付き高齢者専用住宅初任者研修,モンキークルー（介護）,,,,,,介護,サービス付き高齢者向け住宅 通常規模型通所介護事業所,,,,正社員,,,,,,,,,,,
807703,合同会社さくら介護サービス,合同会社さくら介護サービスサービス付き高齢者向...,0279-54-0200,群馬県北群馬郡榛東村新井2481-4,https://sakura-c-s.jp/,https://xn--pckua2a7gp15o89zb.com/jb/47ec197508a7a592c77852da5cca717f,介護福祉士／サ高住,モンキークルー（介護）,,,,,,介護,サービス付き高齢者向け住宅 身体介護サービス 生活援助,,,,正社員,,,,,,,,,,,
816055,社会福祉法人さしま福祉会,,0280-88-8000,茨城県坂東市逆井３５０３番地１４,http://w3.dreams.ne.jp/wakakusa/,https://xn--pckua2a7gp15o89zb.com/jb/b75dc85bccf1fa3ab46431d9656741a9,特別養護老人ホーム介護職員,モンキークルー（介護）,, ,,,,介護,特別養護老人ホーム,,,, ,,,,,,,,,,,
871608,株式会社明昭 篠崎明生苑,,03-5664-7080,東京都江戸川区篠崎町2-31-3,https://sonodakai.jp/meisho,https://xn--pckua2a7gp15o89zb.com/jb/2f04d344fecac6504b4e3867fd208b95,介護スタッフ,光誠会（介護）,,,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
893507,大京化学株式会社,,0771-23-0070,京都府亀岡市大井町並河３丁目２５−１, ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l5f937afd0f02cdf0253c883a9c01409b&p=t%2BAK7k0GmMUr0ZRss/MBm7xCdRyXMjOLG%2BG67S4yPkU0LwyjDCU%2BWvZmcz5LWsZZLiHUQP/c8/GWaUBQIwhAwwYG0AP8nj3uEmbPeSNblsDDGcbKwIQWCovP0p0Y%2BUnnfoss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91yAMu1sU9R3cTjgA1OyV8Ie3tRoAqwBtnTCAUl%2BBKRBMjIN02MuyKaL74mBqc7JVJuTguNUSiauNBOiYY90Bpuz76nO9cKLwcDVv%2BJj0OB26httMXbcv129q6LpOgIRfOfrp/4LxtlTJaJ4g6ZZqoGrMgDm%2BqAXCKya13trRip00tv3wwcccxplOdleeQ/FcdLPYlrrXA0RgrWzbO%2BT8kOAB0e2xNle%2BHH%2BiIetGsckCAgT3DoAeIr2lxmK5TiuHq89w5r1Vwp2n4doOOxRkRwAuKoZBMFBMMZHhQU7LzuLg/WmObz8inVMiJ7zjcVrIh8%3D&ph=f1b0af21b268&phv=1,京都／亀岡／総務部副部長／ワークライフバランス／幹部候補での募集,ミライユ（ドライバー）, , ,,,,"","",,,,正社員,,,,,,,,,,,
893710,株式会社エイト,,0795-23-7711,兵庫県西脇市西脇559-4, ,https://xn--pckua2a7gp15o89zb.com/jb/9b2793da4c5306077d31877a04978fb1,倉庫内でのフォークリフト運搬作業,ミライユ（ドライバー）, , ,,,,ドライバー,運輸,,,,正社員,,,,,,,,,,,
894114,クラウン・フーヅ株式会社,,093-481-5811,福岡県北九州市門司区新門司北一丁目3番9,http://crown-foods.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/7ac126d3247657bdba387c1ff3dba217,運行管理やフォークリフト作業のスキルが活かせる!物流担当,ミライユ（ドライバー）, , ,,,,ドライバー,運輸,,,,正社員,,,,,,,,,,,
