id,company,store,tel,address,url,url_2,title,industry,mail,first_name,postnumber,people,caption,business,genre,mobile,choice,inflow,other,history,area,target,meeting,experience,price,number,start,remarks,extraction_count,send_count
741597,	アサヒサンクリーン株式会社介護付有料老人ホームアサヒサンクリーン仙台広瀬,,0800-800-6539,宮城県仙台市青葉区愛子東三丁目1番20号,https://www.laplace-co.com/,https://xn--pckua2a7gp15o89zb.com/jb/93f35aac638eec3083e0cef4798d8970,介護付き有料老人ホーム介護職員,SOUND（介護）, , ,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
123176,『サンライフ田原本』株式会社ダイショク44,,0744-34-3344,磯城郡田原本町大字小阪305-1,https://jp.indeed.com/rc/clk?jk=b31cbafa8a96f5a1&fccid=dd616958bd9ddc12&vjs=3,http://seiwakai-group.or.jp/sunlife-tawaramoto/,介護老人保健施設での調理員新着,圏友（介護）,,國分清和,636-0237,,,介護老人保健施設,,,,,正社員,,,,,,,,,,,
123178,『リンク橿原』株式会社セイ33,,0744-21-3737,奈良県橿原市雲梯町９４−１,https://jp.indeed.com/rc/clk?jk=577a178e78b90a08&fccid=dd616958bd9ddc12&vjs=3,https://kanahashien.iinaa.net/link_kashihara.html,介護老人保健施設での調理員新着,圏友（介護）,,,634-0834,"1,810",,介護老人保健施設,,,,,正社員,,,,,,,,,,,
817315,★ 名称株式会社アメニテイ,株式会社アメニティ,0768-82-2115,東京都千代田区神田駿河台2丁目1-20　お茶の水ユニオンビル3F,https://www.amenithi.jp/,https://xn--pckua2a7gp15o89zb.com/jb/05b14429eb18a4047b88ee7239fcd4e0,病院や介護施設への法人営業チーム予算あり残業少なめ,ジョイスリー（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
746908,12月株式会社リクルーティング・ギミック,栗山中央病院,03-6277-5939,〒150-0036 東京都渋谷区南平台町2番17号,https://doctorsfile.jp/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l45d515c6f1cdae751c8bfa191b0b0b11&p=t%2BAK7k0GmMUr0ZRss/MBm07wlm%2Bscl07CRZBUVbS07T8PkZDCH5ewpM4sFTYuoMSNlRNDPx2M4jDl/lCGrRNtFYtZ3Bbe2u8p1GqFeRxtPOKS0qfoW0EGdiMpIVfSM5kfoss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91yAMu1sU9R3cTjgA1OyV8Iec8UOZ918fvr81gB7cqpNgrGzKxqnCZRAEs1iIW60Ycm%2B/6GUMYP7C0QGMOZSs1ac76nO9cKLwcDVv%2BJj0OB26pzUEq%2BGNLi7jl%2BTT7OtHUAEK5nhNOHDEQwzllxMqq4ABQxswlI0BvJSkBoOlWzDdbBJCNcjQ%2BpDiDrRbA%2BMt6asPIrYUynS6NvjgU5KazmAixAKgFzrc0ozBL4Z7QuJTRqsXZjaJjOLh/qH2wuClIAR0rErgqWppXNXkor3/xthP5XNXcWu6smIFpo/fJou2VmQp/d9epQ8tuxb5sB78T4%3D&ph=0fcab186a40b&phv=1,介護職員／初任者研修／日勤・夜勤両方,グローバル（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
816638,2019社会医療法人水和会水島中央病院AllRightsReserved.,水島中央病院,086-444-3311,,https://suiwakai-mch.or.jp/,https://xn--pckua2a7gp15o89zb.com/jbn/858807efa59aa0b4de633939f39a6e3c,介護職・ヘルパー／日勤のみ／駅徒歩8分／マイカー通勤OK／賞与4.5か...,ジョイスリー（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
263105,21ケア株式会社,,086-296-7322,岡山市南区藤田430-2,http://www.21care.co.jp/,https://jp.indeed.com/company/%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E3%83%87%E3%82%A4%E3%82%BA-%E4%BA%8B%E6%A5%AD%E6%8E%A8%E9%80%B2%E9%83%A8/jobs/%E4%BB%8B%E8%AD%B7-%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%E3%81%A8-%E3%81%93%E3%81%AA%E3%81%86-02e377cace321c4d?fccid=e766a9532e5dd21a&vjs=3,介護のスタッフとしておこなうお仕事,FUJI（介護）,,山中一巨,701-0221,96,,介護サービス,,,,,,,,,,,,,,,,
488138,21ケア株式会社,,086-296-7322,岡山市南区藤田430-2,http://www.21care.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/450657818ffe9aa6e70fff8c03cff496,介護スタッフ,グローバル（介護）,,,701-0221,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
572992,２１ケア株式会社,,086-296-7322,岡山県岡山市南区藤田４３０番地２,,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l45a1023800b7cc4faf78476958dedbf6&p=t%2BAK7k0GmMUr0ZRss/MBm5v2yAkzcQXeVmbw/JQBzdtg0LKFehHyggq/0SvxZ6Rz8m/m0316%2B7En%2BIQx78JL5wOSwLbPuGQPiLb3ZUEps4ldmBQ5FzGde02bhLUP/Ec3oftjdNyTVdLGR2pfgAM6JLjDbgKRX3aJBUKeioCL1rmRdMFeNupzviu4HD%2Bt5p2mZPPWAwzxIkDsI4wxyTGNnPXq8grJbowy2EHzve9COSnwWcNGZJ1YzwM1fbaP/HchB2cem2qmqFDrMTJ%2BYhnGwz0BXI7gVAm3jeNpLKYvcPZ2EVyHXmTWPmH2acjWosDBBQxswlI0BvJSkBoOlWzDdbBJCNcjQ%2BpDiDrRbA%2BMt6asPIrYUynS6NvjgU5KazmAGD30EscyQuXJEl2s1SWBOdH/qhGzfR9ArCNMxa6bZFEdJz28DO2HuQ493MDstRC3a2JeosNnWuvoEgi32b1Vsh5doZwnRcRapWnOP3jehJs%3D&ph=35417fb0dd5f&phv=1,,ニュートラル（介護）,,山中　一巨,701-0221,,,介護,デイサービス・訪問介護,,,,,,,,,,,,,,,
688577,21ケア株式会社,,086-296-7322,岡山県岡山市南区藤田430-2,http://www.21care.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/450657818ffe9aa6e70fff8c03cff496?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,介護スタッフ,SOUND（介護）,,,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
709977,２１ケア株式会社,,086-296-7322,岡山県岡山市南区藤田４３０番地２,http://www.21care.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/eda50cbcfad297378adb4a7f1f92a9b5?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=referral,介護スタッフ,ジョイスリー（介護）,,山中　一巨,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
361023,ALSOKライフサポート株式会社,,072-868-0321,大阪府枚方市楠葉花園町14-10（京阪くずは駅ビル南館3階,https://kanden-ls.co.jp/,https://jp.indeed.com/rc/clk?jk=21582cd9d90c5737&fccid=dd616958bd9ddc12&vjs=3,訪問入浴の介護職員,FUJI（介護）,,稲村　泰伸,〒573-1121,538名,,介護・福祉,,,,,,,,,,,,,,,,
565111,ALSOKライフサポート株式会社,,072-890-0321,大阪府枚方市堂山3丁目11-1,https://lifesupport.alsok.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/59c9f600258b62f728fd6509a64df60f,デイサービスでの介護業務,グローバル（介護）,,,573-0007,538,,介護,デイサービスセンター,,,,正社員,,,,,,,,,,,
802005,ＡＬＳＯＫライフサポート株式会社,有料老人ホームローズライフ高の原,0728-68-0321,大阪府枚方市楠葉花園町１４番１０号,https://lifesupport.alsok.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/767bd5a8a969b800b3281d81a2f7eace,介護職／駅から徒歩3分／処遇改善加算あり!入職祝い金10万円を支給,ジョイスリー（介護）,,,,,,介護,介護,,,,正社員,,,,,,,,,,,
931661,ALSOKライフサポート株式会社,,072-868-0321,大阪府枚方市楠葉花園町14-10（京阪くずは駅ビル南館3階,https://kanden-ls.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/fce2b2186ef0184f3560eb51827f0269,訪問入浴の介護職員,ニューアース（介護）,,稲村　泰伸,〒573-1121,538名,,介護・福祉,,,,,,,,,,,,,,,,
769079,ALSOKライフサポート株式会社　ローズライフ高の原,,0774-75-2001,京都府木津川市相楽台9-1-5, https://lifesupport.alsok.co.jp/roselife/takanohara/,https://xn--pckua2a7gp15o89zb.com/jb/13675fb09202cc7e3ba7cb978b8a97b8,介護職・社会保険完備の職場で介護職／ヘルパー,ジョイスリー（介護）, , ,,,,介護,老人ホーム,,,,正社員,,,,,,,,,,,
