id,company,store,first_name,last_name,first_kana,last_kana,tel,tel2,fax,mobile,industry,mail,url,people,postnumber,address,caption,remarks,status,created_at,updated_at,memo_5,title,other,url_2,inflow,business,price,number,history,area,target,start,choice,sfa_statu,contact_url,meeting,experience,extraction_count,send_count,worker_id,genre,forever,customers_code,requirement_title,price_title,experienc_title,refund_title,usp_title,other_receive_1_title,other_receive_2_title,other_receive_3_title,industry_code,company_name,payment_date,industry_mail,worker_update_count_day,worker_update_count_week,worker_update_count_month
405033,有限会社ほのぼの,,,,,,0186-43-2821,,,,オリーヴ（介護）,,,12,,秋田県大館市美園町４番２５号,,,,2023-03-02 18:17:39 +0900,2023-03-02 18:17:39 +0900,,太田　国雄,,https://jp.indeed.com/rc/clk?jk=31fd39db691e3b95&fccid=5c2dba76a9a2efcf&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,,,,,,,
405051,合同会社　響,,,,,,017‐788‐0238,,,,オリーヴ（介護）,,,,,青森県青森市新城平岡１６０－２３８,,,,2023-03-02 18:17:53 +0900,2023-03-02 18:17:53 +0900,,岩渕　陽子,,https://jp.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Deo6dyJ5l_BCCYVqlEYmkqejhh1jFbjzH4V4t-aIVbOHDsyfanzx17uoZ7Nz6b5B3EiZrsVSYrUHRu4HML8rRwNeMFev2nVsFTevEKsgcIYt32XpZgfWtS4WCQ2cBfM1-9zMZDoIFf86Tm1Vvr73SQMZtY32osb-f0TUtloHt_MJvjfDAbbFySoqVGYvh2ydZGBIXbv2ekFb149VNH_M75MsQ5va1_YLC_ttzzc1TBpcz5dGfMZ7ZYh4QDj-2N5xw7UAmUv3KfP-Vg-dAq1YoJ_EG1DmLzq67suMuZvEtT3gsP5yIst_8YlDPG1kWHzLcywPLpX6WCkixKPOcd3iJe59bAyQvb_3agisBbq9bGZ0ow2n75irN7GL1DnQh5oicZvNcbiSdBMUGzEAdAf-ffRHcZuRJQNcFezRl9dqVZMmbtyDKWPU_huzuv7hJqmb3HCt9Q9CCwzHfo3Lp8IspCNxKudkIxo0DYZ6yJBKwEK_WYdAongaJj4LbwCB9oRa-JEWZgaMhmY6e_0FMyJhS-QMeyv_Z2GldM-plM2WauihSrEBnTEIGVsY9NqWZ1pK6T3rMF7reASg6kYQm94HL8aO9KaOeeSNsfO3AhXap3iTmuylenlrofj27OywIg4lJLUb8ItBrr7fktyj2nHIDLqEDlmYScESA1Mewdd4XxSA6amARuim9MUC8Fw2btiClXms4dLQW88u3f2alDGpkDIT0aX3faLlD8NPtfoCOt8EvTIhRUBrDbuJ11OKOGVyrywI2V3_MQ1rUawkmqVJxDVH4qavKVYPqQ7SEgf92BAz38mSYyOdIlUo-2Alku2yQh59tofdG3GHmppHcIuqrvUdkyxgsEEgHbKSfkcnj34u5jbaaw5hwtXiHqF69EF7A=&xkcb=SoAe-_M3T2QCy02Sbx0JbzkdCdPP&p=17&fvj=0&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,,,,,,,
411530,社会福祉法人太陽福祉会,,皆川　敏治,,,,0738-22-4885,,,,SOUND（介護）,,https://www.taiyo.or.jp/,,644-0044,和歌山県日高郡美浜町和田1138,,,,2023-03-22 21:41:54 +0900,2024-10-19 17:19:04 +0900,,調理員,,https://jp.indeed.com/rc/clk?jk=17210fffc14f441e&fccid=1ea190d09b65b3db&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,27500,一般社団法人日本料飲外国人雇用協会,末日,tanaka@jfbfe.or.jp,,,
419088,株式会社木下の介護,,佐久間 大介,,,,03-5908-1310,,,,SOUND（食品）,,https://www.kinoshita-kaigo.co.jp/,,163-1308,東京都新宿区西新宿6-5-1,,,,2023-04-15 13:34:10 +0900,2024-11-03 18:39:07 +0900,,福祉施設での厨房長候補,正社員/契約社員,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l5b8db7b6dcaf4fd7edec24dd53027ad2&p=t%2BAK7k0GmMUr0ZRss/MBm%2BlJi%2B/VlnpckpOEa6oHWkBPb7vbLjY40mLPPQFTgt/vKpHqLHQ%2BGopzr79ru2toBFYtZ3Bbe2u8p1GqFeRxtPO1jGymH7xla/hM5mueLc3Ifoss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91zgBXzqorrNddwtn7EtVPRuYtAS8Bnv2kSYtCouhZF1sQfo0qgCi9JA8eZmW9FySE4qZs%2B%2Bku7P8EKCOOBF%2BUxMFOYOwewO9X7TDwKP7UzpGomrxjc16/LUDeE%2BmChyeK94mw9f2AAmStNRfB664ut3ekJfGEU3Epl/6axHmgZq8WpL8iyz1r9IsxNvzhkzFbf5ouS9gKG97qx9lzn22SkR6Gz%2B1uEE2XE8Dvq1vP/qaqLCoKE%2B9ZGT6eBwfSoqTzucR8fUg9lDvIWZrINi8PSO&ph=8965f3e68a66&phv=1,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,27500,一般社団法人日本料飲外国人雇用協会,末日,tanaka@jfbfe.or.jp,,,
419427,ミルフィーユ合同会社,,菅原　千津子,,,,0166-74-3031,,,,オリーヴ（介護）,,https://sakura-houmonkango.com/,,078-8311,北海道旭川市神楽岡1条6丁目2番5号,,,,2023-04-15 14:32:30 +0900,2023-04-15 14:32:30 +0900,,世話人・生活支援員,,https://jp.indeed.com/rc/clk?jk=55826894e4b1cc04&fccid=bee63f6895cd5d38&vjs=3,,介護,,,,,,,,,,,,,,,訪問看護,,,,,,,,,,,,,,,,,
475661,株式会社ACG,,大牟禮康佑,,,,099-230-7138,,,,グローバルイノベーション,,https://www.aozora-cg.com/,,890-0056,鹿児島県鹿児島市下荒田3丁目17番1号　レジデンス久野ビル3F,,,,2023-08-21 20:07:56 +0900,2024-10-19 17:20:44 +0900,,【社】生活相談員(永吉・有料),,https://jp.indeed.com/rc/clk?jk=2db71d3cfcb878e7&fccid=2706a3322c885685&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,30000,協同組合グローバルイノベーション,10日,tokumaru.junichi@globa-ca.com,,,
475666,株式会社アイランドケア,,,,,,092-982-0067,,,,グローバルイノベーション,,,,811-1347,福岡県福岡市南区野多目1丁目10番1号,,,,2023-08-21 20:07:58 +0900,2024-10-19 17:20:44 +0900,,訪問介護/正社員,,https://jp.indeed.com/rc/clk?jk=3ec36c765dcc85e9&fccid=e2f304d68c244c7d&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,30000,協同組合グローバルイノベーション,10日,tokumaru.junichi@globa-ca.com,,,
475674,株式会社Re’sela Lig,,鎌田　武,,,,092-410-8829,,,,グローバルイノベーション,,https://resela-lig.co.jp/,,813-0003,福岡県福岡市東区香住ケ丘2-48-5,,,,2023-08-21 20:08:03 +0900,2024-10-19 17:20:44 +0900,,介護職員,,https://jp.indeed.com/rc/clk?jk=6726d1c2ce298b31&fccid=eb427ff9d0654cac&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,30000,協同組合グローバルイノベーション,10日,tokumaru.junichi@globa-ca.com,,,
475688,株式会社グリーンケア,,柴口 由喜子,,,,092-555-8077,,,,グローバルイノベーション,,http://www.green-care.co.jp/,164,815-0041,福岡県福岡市南区野間2丁目7-22,,,,2023-08-21 20:08:09 +0900,2024-10-19 17:20:44 +0900,,障害者施設・支援/介護関連職/正社員,,https://jp.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Deo6dyJ5l_BCCYVqlEYmkqejhh1jFbjzH4V4t-aIVbOIACCGsuXIHveu5Ci6xFAOpRog-lkUmzIwRqn25bugVLKsZNIHobCsUeumCCIqURIzSYZuMsu02yxZxAc8gV19-o8P5rdtbm0ZfCQ0x1Wr7oe-tBIJw7oCUszWbySxBBDJNhBWkPW5vRDiJBgMrjOcESptG4_kBlh6Rdt36dE1kW0vm-xenhUcBAJ2EWn8CsLryYFUOqqsWevIGEt1HVOOvtjU6jvABK1vM1JWizVZDlMKhe8YwKxgF3YOiTqRLlESSpnUuA-b5jPxDc-JWvJ3jkIo8HqtSraqIPHan2Oci5bHdx8heEwebDb4m7kGq_Ckz4NZfbV7eMBNK0bDWwYUA2JdRY5eIMrrTsqUvqmPw-PRex0lyiwXpGnk56P2n2HBosETXWhXWTeKuUKwgIuR_e9c5F01C32ICIcAD5_oK9oeTnOgzLh0KCih3K6oKmQHDZLBM2gUiNEML1u00ml-Ffg1MQFfjBI7UdJVziSSOADJfKWJ6y0AAXXpyRLSgLjGQUrCSDUa_fQo24BCnLxAzDbKLtDSeIeyUpJmz8pc44ybCJreEHy5k1_XvXO7bPN79myrSIbI3bNuulCG1pmng01AN7O1MS26hv8hxyKlVgtlsUfsAtRCEGk6i72EoQUErT94DE3ghcirVSPiXGN1XhD2cXeUlpg17lO2Zgax05XloKMW86IKQ556Ybol-5NaG2PZcXclc-JdnLI1Imn9guX4XkUPVGeVSG0F_4xwwwJxcK9I_2GZ9wyQaBh-9hjECttqqgNf8clmNs6xhioa3MXx0WKboGadl6o7UOO8dyNl8Lv9_5WPGNjf9unq6hnZ49RvWSPKz2zk8NAEbl57jquJBnOKprtvOjkmtSpxTWWaaL91KY3BYI0JS-Ux1M5D61gg5iWryO&xkcb=SoDn-_M3Nmy7sCQJcR0ibzkdCdPP&p=39&fvj=0&vjs=3,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,30000,協同組合グローバルイノベーション,10日,tokumaru.junichi@globa-ca.com,,,
475725,株式会社S・Kコーポレーション,,蔵田　修一,,,,093-663-2211,,,,グローバルイノベーション,,,,805-0050,福岡県北九州市八幡東区4-3-26,,,,2023-08-21 20:08:25 +0900,2024-10-19 17:20:44 +0900,,有料老人ホームでの介護業務,正社員,https://xn--pckua2a7gp15o89zb.com/jb/59e50b0d3e5b01314aa001917818c79e,,介護,,,,,,,,,,,,,,,訪問介護,,,,,,,,,,,30000,協同組合グローバルイノベーション,10日,tokumaru.junichi@globa-ca.com,,,
