company,tel,industry
ALSOK山陰株式会社,0852-27-6700,ミライユ（警備）
ジェントルセキュリティ合同会社,8055372740,ミライユ（警備）
テイケイ株式会社 つくば支社,050-3159-5064,ミライユ（警備）
ネクスト株式会社,072-679-1181,ミライユ（運送）
レンゴーロジスティクス株式会社,050-3381-0150,ミライユ（運送）
一宮運輸株式会社 関東支社,0436-62-0138,ミライユ（運送）
株式会社SVL,04-2941-4007,ミライユ（運送）
株式会社オオマツ興業,048-981-3820,ミライユ（運送）
株式会社ギオン 首都圏チルドセンター,046-284-2300,ミライユ（運送）
株式会社水岩,03-6666-4134,ミライユ（運送）
株式会社千葉通商 埼玉東営業所,048-940-3701,ミライユ（運送）
株式会社東京サンセット 埼玉営業所,048-922-1551,ミライユ（警備）
株式会社日本警備スタッフ,523257891,ミライユ（警備）
原川倉庫運輸株式会社,054-238-8555,ミライユ（運送）
水岩運送株式会社,06-6555-1171,ミライユ（運送）
中越運送株式会社 東京引越センター,03-3533-0841,ミライユ（運送）
東洋ワークセキュリティ株式会社 上野営業所,03-6284-2280,ミライユ（警備）
SBSゼンツウ株式会社,048-447-3311,ミライユ（運送）
エムアイジー株式会社,0476-37-6961,ミライユ（運送）
セコムジャスティック上信越株式会社,025-280-1789,ミライユ（警備）
セコムジャスティック上信越株式会社 群馬営業所,027-253-0240,ミライユ（警備）
セントラル警備保障株式会社,03-3344-8748,ミライユ（警備）
セントラル警備保障株式会社 関西事業部,06-6304-5780,ミライユ（警備）
セントラル警備保障株式会社 埼玉支社,048-615-3700,ミライユ（警備）
セントラル警備保障株式会社 多摩支社,042-528-0991,ミライユ（警備）
セントラル警備保障株式会社 東京システム事業部,03-5304-3416,ミライユ（警備）
セントラル警備保障株式会社 東京警送事業部,03-5675-2701,ミライユ（警備）
セントラル警備保障株式会社 東京事業部,03-5337-6011,ミライユ（警備）
セントラル警備保障株式会社 福岡支社,092-732-5611,ミライユ（警備）
プラスワン株式会社,072-758-0001,ミライユ（警備）
ロードリサーチ株式会社 福生営業所,042-513-0523,ミライユ（警備）
ロジスティード西日本株式会社,06-6461-8061,ミライユ（運送）
株式会社トスネット茨城 筑西営業所,0296-21-0306,ミライユ（警備）
株式会社トスネット首都圏,03-5836-3711,ミライユ（警備）
株式会社トライアゲイン,03-6231-4852,ミライユ（警備）
株式会社ハルテ物流サービス 関東営業所,045-924-2030,ミライユ（運送）
株式会社宇都宮セントラル警備保障,028-688-3451,ミライユ（警備）
株式会社丸文ミライユ（運送） 市川営業所,047-401-5628,ミライユ（運送）
株式会社千葉通商 羽田空港営業所,03-6459-9190,ミライユ（運送）
三興物流株式会社,06-6925-3519,ミライユ（運送）
太成倉庫株式会社,338884141,ミライユ（運送）
第一総合警備保障株式会社 上野支社,03-6284-2304,ミライユ（警備）
ALSOK茨城株式会社,029-244-7555,ミライユ（警備）
F-LINE株式会社 北関東支店,0480-28-0034,ミライユ（ドライバー）
アートバンライン株式会社,06-7639-5588,ミライユ（ドライバー）
アキタ株式会社,052-589-9917,ミライユ（ドライバー）
カトーレック株式会社 埼玉営業所,04-2945-8210,ミライユ（ドライバー）
キャリテック株式会社野田配送営業所,471288882,ミライユ（ドライバー）
セントラルライフ株式会社,03-3264-7665,ミライユ（警備）
ヒップスタイル株式会社,045-228-2200,ミライユ（ドライバー）
マクサム通運株式会社 埼玉営業所,487802461,ミライユ（ドライバー）
ユニティ株式会社,011-621-3993,ミライユ（警備）
株式会社ASKY,03-5875-2520,ミライユ（警備）
株式会社CTU,03-3888-2291,ミライユ（警備）
株式会社MKサービス,0565-63-2270,ミライユ（警備）
株式会社S2 新大阪支社,06-6459-9615,ミライユ（警備）
株式会社アシストジャパン 城東営業所,03-5637-8650,ミライユ（警備）
株式会社アルファセキュリティ,078-984-3530,ミライユ（警備）
株式会社エム・エス・ディ,0263-38-7020,ミライユ（警備）
株式会社ジャパン・トラスティ・サービス,03-5823-4070,ミライユ（警備）
株式会社パーミルセキュリティ 名古屋支店,052-433-1866,ミライユ（警備）
株式会社ビジネスジャパンエキスプレス,06-6478-6633,ミライユ（ドライバー）
株式会社浦安清運,047-350-5556,ミライユ（ドライバー）
株式会社警備ひゃく 大阪事務所,06-43973315,ミライユ（警備）
株式会社新陽警備保障,043-292-3649,ミライユ（警備）
株式会社正運,06-6651-0146,ミライユ（ドライバー）
成田空港警備株式会社,0476-22-5511,ミライユ（警備）
浅野興業株式会社,03-3687-7361,ミライユ（ドライバー）
綜合警備保障株式会社 営業総括部,03-3470-5492,ミライユ（警備）
綜合警備保障株式会社 横浜北支社,045-473-2661,ミライユ（警備）
綜合警備保障株式会社 埼玉西支社朝霞営業所,048-465-0252,ミライユ（警備）
綜合警備保障株式会社 成田支社,0476-24-3221,ミライユ（警備）
綜合警備保障株式会社 船橋支社,047-434-2051,ミライユ（警備）
東洋ワークセキュリティ株式会社 越谷営業所,048-971-9951,ミライユ（警備）
南日本運輸倉庫株式会社春日部営業所,487465454,ミライユ（ドライバー）
南日本運輸倉庫株式会社千葉第二営業所,432440540,ミライユ（ドライバー）
名糖運輸株式会社 千葉物流センター,047-454-5187,ミライユ（ドライバー）
有限会社東進産業,047-384-8342,ミライユ（ドライバー）
萬運輸株式会社,045-571-3851,ミライユ（ドライバー）
社会福祉法人　南都会,,モンキークルー（介護）
社会福祉法人　正恵会,,モンキークルー（介護）
社会福祉法人　とちぎYMCA福祉会,,モンキークルー（介護）
社会福祉法人　みずほの福祉会,,モンキークルー（介護）
株式会社　フレンド,,モンキークルー（介護）
株式会社　さくら,,モンキークルー（介護）
社会福祉法人　信徳会,,モンキークルー（介護）
社会福祉法人　敬愛会,,モンキークルー（介護）
社会福祉法人　美明会,,モンキークルー（介護）
社会福祉法人　的場会,,モンキークルー（介護）
有限会社　はが介護サービス,,モンキークルー（介護）
社会福祉法人　明日栄会,,モンキークルー（介護）
社会福祉法人　石心福祉会,,モンキークルー（介護）
株式会社　つくし,,モンキークルー（介護）
社会福祉法人　秀峰会,,モンキークルー（介護）
医療法人　江隆会,,モンキークルー（介護）
社会福祉法人　タービュランス福祉会,,モンキークルー（介護）
有限会社栄光商会,0476-23-1824,光誠会（介護）
医療法人ほがらか会もとだて病院,0198-23-5131,光誠会（介護）
介護老人保健施設清水宛,0197-82-3301,光誠会（介護）
社会福祉法人若葉会,0295-53-7878,光誠会（介護）
介護付有料老人ホームウツディタウン高崎南,0274-42-0077,光誠会（介護）
金上仁友会ゆうゆうホーム,0224-63-1032,光誠会（介護）
介護老人保健施設狭山ケアセンター,04-2956-7311,光誠会（介護）
社会福祉法人仁愛会,0246-89-3288,光誠会（介護）
社会福祉法人千葉育美会特別養護老人ホーム花の里,0470-47-5193,光誠会（介護）
さわやかなすしおばら館,0287-48-7155,光誠会（介護）
介護老人保健施設エスポワール岩槻,048-793-3612,光誠会（介護）
社会福祉法人豊生会,027-363-3311,光誠会（介護）
社会福祉法人ふれあいコープ,028-616-6500,光誠会（介護）
社会福祉法人敬寿会,023-664-2141,光誠会（介護）
株式会社なごみの里,0172-37-8090,光誠会（介護）
社会福祉法人敬寿会,023-664-2141,光誠会（介護）
特定非営利活動法人ともにあゆむ会,0198-36-1751,光誠会（介護）
医療法人社団　帰厚堂,019-698-2015,光誠会（介護）
社会福祉法人春陽会　特別養護老人ホームMAO,0294-28-0555,光誠会（介護）
