industry,company,tel,,
SND（介護）,株式会社 紲,0246-38-5509,,
SND（介護）,株式会社 ウォーク,0246-75-2670,,
SND（介護）,社会福祉法人 広葉会(リリー園),0240-25-1777,,
SND（介護）,社会福祉法人 三神会,044-871-2010,,
SND（介護）,有限会社 サンヴェルいわき　(まごの手),0246-38-6933,,
SND（介護）,社会福祉法人 飛鳥 （ はなまる共和国）,0246-46-1870,,
SND（介護）,株式会社 ダイセン,0246-38-9620,,
SND（介護）,有限会社 アロー商事,0246-36-4005,,
SND（介護）,株式会社 福寿会（ふるさとの楽園）,0246-29-1001,,
SND（介護）,社会福祉法人 ヴェルファーデン（瀬々らぎの里）,0277-32-2122,,
SND（介護）,社会福祉法人 おおくま福寿会,0240-23-6321,,
SND（介護）,株式会社 ホライズン,0246-45-2021,,
SND（介護）,やました福寿苑福祉サービス 株式会社,0246-65-7550,,
SND（介護）,社会福祉法人 藹々,0243-24-5225,,
SND（介護）,医療法人 健山会　,0247-82-0137,,
SND（介護）,社会福祉法人 すみれ福祉会（特別養護老人ホーム花音）,0247-82-6888,,
SND（介護）,株式会社 みやび,0246-77-1088,,
SND（介護）,有限会社 そら,0246-34-8661,,
SND（介護）,社会福祉法人 蘭山会(特別養護老人ホーム 咲楽の里),0242-72-0557,,
SND（介護）,社会福祉法人 友愛会,0240-23-6306,,
SND（介護）,株式会社 WILL GOLD(あしび),0246-38-3306,,
SND（介護）,有限会社 つかさ,0246-75-0530,,
SND（介護）,株式会社 ケアフォレスト,0246-23-3910,,
SND（介護）,株式会社 アンソニー・ケア,0277-46-6960,,
SND（飲食）,株式会社 婁熊東京,03-3464-8929,,
SND（飲食）,有限会社 フジ建築事務所,024-528-6113,,
SND（飲食）,株式会社 よしの（元 華正樓）,0246-23-9548,,
SND（飲食）,Nobu Tokyo 合同会社,03-5733-0070,,
SND（飲食）,株式会社 大吉興業,0270-61-9885,,
SND（飲食）,スタミナラーメン多幸,029-353-0130,,
SND（飲食）,株式会社 シエルオ,080-5843-3773,,
SND（飲食）,翠月園 株式会社 (中華料理　福満源),0246-58-6050,,
