company,,,,,,,,,
ß,054-253-1510,静岡県静岡市葵区昭府一丁...,介護付き有料老人ホーム、グループホームの運営,,https://xn--...,,,04月09日 22時58分,
あずまケアサービス株式会社あいらの杜福島市役...,024-525-8778,福島県福島市大町7-11...,介護,介護付有料老人ホーム,https://azum...,,,04月02日 23時04分,
医療法人あかつき会はとがや病院,048-282-1890,埼玉県川口市坂下町4-1...,介護,介護医療院,https://hato...,https://hato...,,04月02日 22時22分,
医療法人社団あけぼの介護老人保健施設はるかぜ,0548-52-0006,静岡県牧之原市相良174-1,介護,介護老人保健施設,,,otouchan0424,04月03日 12時42分,
医療法人社団正信会介護老人保健施設みのり苑,0299-48-2118,茨城県小美玉市西郷地１４...,介護,介護老人保健施設,https://www...,,tomopapa1958,04月02日 20時27分,
医療法人社団葵会介護老人保健施設葵の園・仙台,022-207-7700,宮城県仙台市太白区鈎取2...,介護,介護老人保健施設,https://www...,,,04月08日 17時58分,
株式会社アズ・ライフケアあずみ苑磐田,0538-36-4165,静岡県磐田市豊島1427番地1,デイサービス・ショートステイ,,https://xn--...,,,04月09日 00時48分,
株式会社アズパートナーズアズハイム千葉幕張,043-296-3400,千葉県千葉市花見川区幕張...,,,https://xn--...,,,04月02日 21時23分,
株式会社サンガジャパンかわぐち翔裕館,048-229-3830,埼玉県川口市戸塚安行駅徒歩5分,介護,介護付き有料老人ホーム,https://san...,https://sang...,otouchan0424,04月03日 12時24分,
株式会社ツクイツクイさいたま見沼グループホーム,0120-291-605,埼玉県さいたま市大和田駅...,介護,グループホーム,https://www...,,otouchan0424,04月03日 12時24分,
株式会社ハピネライフ一光ハーモニーハウス伊賀上野,0595-26-5055,三重県伊賀市平野蔵垣内1...,介護,介護付有料老人ホーム,http://www.h...,,,04月08日 21時05分,
株式会社ライフケアライフケア妙興寺,022-357-0608,宮城県仙台市若林区大和町...,,,https://xn--...,,,04月08日 21時05分,
社会福祉法人うえるかむ清穏の庵,022-393-7571,宮城県仙台市太白区鈎取四...,介護,特別養護老人ホーム、ショ...,http://www....,,xx.gypsy1230,04月02日 20時27分,
社会福祉法人デンマーク牧場福祉会特別養護老人ホ...,0538-23-0380,静岡県袋井市山崎5902...,特別養護老人ホーム,,https://xn--...,,,04月08日 21時05分,
社会福祉法人天佑デイサービスアンミッコ,042-990-2200,埼玉県所沢市大字中富16...,介護,特別養護老人ホーム,,,xx.gypsy1230,04月02日 19時50分,
社会福祉法人清新会特別養護老人ホームしおさい苑,0479-48-1110,茨城県神栖市矢田部9416-1,介護,介護老人福祉施設,http://www....,http://www.s...,xx.gypsy1230,04月02日 20時22分,
社会福祉法人草笛の会菊川寮,0537-73-6202,静岡県菊川市東横地133,介護,施設入所支援事業 生活介...,https://kus...,,,04月08日 21時05分,
医療法人社団協友会メディカルトピア草加病院,048-928-3111,埼玉県草加市谷塚1-11-18,介護,デイケア,https://www....,https://www....,2333tmak,04月02日 22時22分,
