id,company,store,tel,address
741597,	アサヒサンクリーン株式会社介護付有料老人ホームアサヒサンクリーン仙台広瀬,,0800-800-6539,宮城県仙台市青葉区愛子東三丁目1番20号
887125, OSS株式会社みどりオレンジグループ 介護付有料老人ホームみどりの家,,0566-71-1800,愛知県安城市北山崎町北浦18
886877, 三菱電機ライフサービス株式会社グループホーム小喜多,,0568-44-2517,愛知県春日井市小木田町125番
887003, 日本音波株式会社健遊館大高緑地デイサービスセンター,,052-629-3081,愛知県名古屋市緑区倉坂601
864013,　有限会社　在宅介護サービス応援隊　グループホーム安堵園,,074-323-1260,奈良県生駒郡安堵町西安堵570-1
800933,　株式会社　アイ・エム・シー　ライフステージ　IMCグループホーム大原,,088-803-8850,高知県高知市大原町８８－２
800606,　株式会社アイ・ディー・エム　リハビリホームあすか高松木太,,087-832-5221,香川県高松市木太町2753番地2
830390, 株式会社セイヨウトレーディング グループホームまき,,0584-63-0123,岐阜県安八郡安八町牧字一番割127番1
801035,　株式会社ムルム　小規模多機能ホームゆい,,088-856-9821,高知県高知市土居町7番1号
856581, 社会福祉法人  淳風会  特別養護老人ホーム淳風とよなか,,066-585-3391,大阪府大阪市港区波除5-4-7
742564, 社会福祉法人あさひ会 特別養護老人ホームグリーンヒル千代田,,0299-59-3787,茨城県かすみがうら市上佐谷2008
741699, 社会福祉法人ユニケア グループホームたいじん荘,,0223-33-1601,宮城県亘理郡亘理町逢隈十文字字宮前79－1
847190,　社会福祉法人厚仁会　特別養護老人ホーム珠光園,,0877-23-2775,香川県丸亀市飯野町東二甲911番地1
83127,【社会福祉法人南山城学園】知的障害者デイサービスセンターあっぷ,,0774-54-4508,京都府城陽市観音堂甲畑1番地2
591185,☆TBC グループ株式会社,,03-3345-1311,東京都新宿区西新宿1-25-1 新宿センタービル43F
358417,２１ケア株式会社　小規模多機能ホームあずき,,086-245-2866,岡山県岡山市南区芳泉2丁目2-65
146521,３６５グループ株式会社,,075-611-0161,京都府京都市伏見区両替町13丁目205番2
130894,AHCグループ株式会社,,059-329-5058,三重県四日市市笹川4-106-15　デイサービスクラス四日市笹川
152867,AHCグループ株式会社,,03-6240-9550,東京都千代田区岩本町2-11-9-2F
570040,AHCグループ株式会社,,03-6240-9550,東京都千代田区岩本町2-11-9　イトーピア橋本ビル２Ｆ
593570,AHCグループ株式会社,,047-704-8741,千葉県市川市欠真間2-23-8 クラシコ南行徳
593572,AHCグループ株式会社,,047-409-9185,千葉県船橋市前原西2-1-5 ヤナギヤビル3階
680807,AHCグループ株式会社,,047-409-5514,千葉県習志野市本大久保4-12-3　パルテール習志野1階Ｃ号室
682936,AHCグループ株式会社,,03-6240-9550,東京都千代田区岩本町2-11-9イトーピア橋本ビル2F
743721,ALSOK介護株式会社介護付有料老人ホームみんなの家・北本中丸,,048-590-1201,埼玉県北本市中丸６丁目２１４
743418,ALSOK介護株式会社介護付有料老人ホームみんなの家・川口東本郷,,048-280-1811,埼玉県川口市大字東本郷290-1
830307,AzBeing株式会社介護付き有料老人ホーム坂祝生楽館,,0574-25-1115,岐阜県加茂郡坂祝町黒岩386-1
144427,CAS株式会社デイサービスセンターかるがも,,0545-62-8000,静岡県富士市川成新町310番地
