id,company,store,tel,,,
373728,岐阜アイベス株式会社,,058-272-8848,,,
382367,株式会社ライフコーポレーション,,06-6150-6111,,,
568709,株式会社ライフコーポレーション,,06-6150-6111,,,
382371,株式会社ニチレイフーズ,,03-3248-2298,,,
382372,プライムデリカ株式会社,,042-702-0011,,,
382373,株式会社サンエー,,098-898-2230,,,
382374,アイリスオーヤマ株式会社,,022-221-3400,,,
568634,アイリスオーヤマ株式会社,,022-221-3400,,,
382375,株式会社ユニバース,,0178-21-1888,,,
382379,株式会社コンシェルジュ,,0725-53-5428,,,
382381,わらべや日洋ホールディングス株式会社,,03-5363-7010,,,
382382,株式会社ヤマザキ,,0548-28-6650,,,
382383,株式会社デリカシェフ,,0480-29-5020,,,
382390,株式会社フリジポート,,03-3518-6481,,,
568643,株式会社フリジポート,,03-3518-6481,,,
581339,株式会社フリジポート,,03-3518-6481,,,
382393,株式会社アクシーズ,,099-223-7385,,,
382394,ロイヤルデリカ株式会社,,027-344-2222,,,
382396,株式会社ティエフケー,,0476-21-1234,,,
382399,滝沢ハム株式会社,,0282-23-5640,,,
382402,埼玉センコーロジサービス株式会社,,0480-53-9703,,,
382408,株式会社ヤマコ,,0566-76-7611,,,
382411,サンマルコ食品株式会社,,011-897-1711,,,
382412,東都給食株式会社,,03-3634-3976,,,
382415,株式会社ハウテック,,0576-24-1111,,,
594858,株式会社ハウテック,,0576-24-1111,,,
382416,株式会社多久製作所,,06-6260-7080,,,
382419,大陽ステンレススプリング株式会社,,03-3922-4111,,,
382421,株式会社小松電業所,,0761-47-8888,,,
382425,株式会社今半,,03-3841-4023,,,
382426,株式会社ホソヤコーポレーション,,043-484-2181,,,
382428,jinjer株式会社,,03-5908-8345,,,
382429,スタミナフード株式会社,,0479-72-2383,,,
382430,備後漬物株式会社,,084-972-8880,,,
382431,知多鋼業株式会社,,0568-27-7771,,,
382436,富士物流サポート株式会社,,03-5476-8064,,,
382440,富士電子株式会社,,048-536-3051,,,
382441,エクセルコンピュータサービス株式会社,,03-5956-6905,,,
382443,株式会社昔亭,,076-427-1111,,,
382446,中部食糧株式会社,,052-413-1234,,,
382450,日証貿株式会社,,03-3257-0711,,,
382452,林精鋼株式会社,,03-3732-1221,,,
382453,株式会社ブライセン,,03-6264-7221,,,
382455,株式会社日本イトミック,,03-3621-2121,,,
382458,ロザイ工業株式会社,,06-6534-3611,,,
382459,株式会社AEVIC,,03-5823-4425,,,
382463,株式会社ミスズライフ,,026-253-5603,,,
382464,株式会社エム・ティ,,0567-32-3022,,,
382466,株式会社ユーキフーズ,,0763-33-4433,,,
382467,株式会社オブジェクティブコード,,03-6441-3935,,,
382469,株式会社メイク,,03-3354-0211,,,
382470,株式会社十味惣,,0572-66-3777,,,
382474,日興製薬株式会社,,058-398-2541,,,
382482,三福工業株式会社,,0283-23-4155,,,
382483,有限会社エム・ディー,,0744-42-2469,,,
382484,松野プレス工業株式会社,,0949-24-1111,,,
382488,株式会社ひまわり食品,,0258-66-0866,,,
382489,株式会社ナハト,,03-5422-3370,,,
382495,株式会社阿部蒲鉾店,,022-222-6455,,,
382496,株式会社大宣システムサービス,,06-6241-7741,,,
382500,株式会社手柄食品,,079-252-8931,,,
382503,エヌビーエル株式会社,,06-6945-7241,,,
382508,株式会社フェニシス,,03-5614-0150,,,
382509,株式会社夕月,,0246-56-6381,,,
382513,株式会社Suikosha,,06-6264-5358,,,
382514,株式会社門永水産,,0859-44-3011,,,
382515,株式会社ワイエスフーズ,,01374-8-5077,,,
382517,株式会社共同陸運,,0282-55-4568,,,
382518,クラレイ株式会社,,093-475-1111,,,
382520,昭和コンピュータ株式会社,,06-6946-9741,,,
382522,株式会社メビウス,,045-290-0135,,,
568667,株式会社メビウス,,045-290-0135,,,
581403,株式会社メビウス,,045-290-0135,,,
382525,三印三浦水産株式会社,,0138-51-6322,,,
382526,菱東肥料株式会社,,097-534-5911,,,
382527,ハイディメンション株式会社,,03-6683-8664,,,
382528,株式会社エーティークリエイト,,027-340-5020,,,
382530,カセイ食品株式会社,,03-3759-6211,,,
382535,株式会社ビー・エス・アール,,03-6261-0301,,,
382536,株式会社サン・エンジニアリング,,0276-40-2077,,,
382537,株式会社早和果樹園,,0737-88-7279,,,
382540,ハヤミ工産株式会社,,0749-82-4337,,,
382546,株式会社紀の国食品,,0739-45-8100,,,
382547,川﨑製パン株式会社,,072-422-2970,,,
382548,村岡食品工業株式会社,,027-251-5353,,,
382549,株式会社牛津蒲鉾,,0952-66-1313,,,
382550,株式会社ふじや,,088-642-0050,,,
568754,株式会社ふじや,,088-642-0050,,,
382551,株式会社エスプリフォート,,06-6459-0901,,,
568714,株式会社エスプリフォート,,06-6459-0901,,,
382553,株式会社フリークラフト,,06-6348-2885,,,
382554,株式会社不二家神戸,,078-991-6700,,,
382555,斯文堂株式会社,,099-268-8211,,,
382556,株式会社山久,,0479-63-6611,,,
568674,株式会社山久,,0479-63-6611,,,
382557,BS東日本テック株式会社,,03-6381-5700,,,
382558,明石運輸株式会社,,078-935-1201,,,
382559,株式会社飯田商店,,0479-22-0688,,,
382560,株式会社サスナデリコム,,054-366-2233,,,
568689,株式会社サスナデリコム,,054-366-2233,,,
594917,株式会社サスナデリコム,,054-366-2233,,,
382562,株式会社ソニックパワード,,052-332-7890,,,
382563,株式会社エーティーティーソリューションズ,,03-3518-6151,,,
382565,株式会社三木商店,,06-6538-2821,,,
382567,有限会社マルミツフーズ,,0823-81-0248,,,
382569,株式会社レグセント,,03-5207-2360,,,
382570,株式会社pointzero,,045-743-0163,,,
382571,安信株式会社,,03-5829-8154,,,
382575,株式会社アスティックフクシマ,,072-966-0771,,,
382577,株式会社Wisdom Technology,,03-5829-5767,,,
382581,NSSワークス株式会社,,03-6661-2254,,,
382582,株式会社CLOCK・IT,,03-5422-9691,,,
382583,株式会社アシロ,,03-5348-4363,,,
382584,株式会社PID,,03-6721-5001,,,
382586,ミツイ水産株式会社,,0982-23-8787,,,
382587,エイチフロンティア株式会社,,03-6272-4340,,,
382588,株式会社名古屋,,0250-62-2773,,,
382589,PEACEFUL株式会社,,0284-73-1777,,,
382590,株式会社マストミ,,088-664-6161,,,
382591,有限会社三昇,,086-456-3400,,,
382593,東豊フーズ株式会社,,011-765-7638,,,
382594,株式会社フレイ,,03-5425-6570,,,
384212,流通株式会社,,0858-22-1211,,,
387701,栄屋食品株式会社,,052-442-1616,,,
858223,栄屋食品株式会社,,052-442-1616,,,
387785,タスクエナジー株式会社,,066-224-0333,,,
391071,タスクエナジー株式会社,,06-6224-0333,,,
452975,タスクエナジー株式会社,,066-224-0333,,,
392238,伸晃物産株式会社,,025-245-1391,,,
74269,株式会社　チャーム・ケア・コーポレーション,,06-6445-3389,,,
355429,株式会社　チャーム・ケア・コーポレーション,,06-6445-3389,,,
385994,株式会社　チャーム・ケア・コーポレーション,,066ｰ445-3389,,,
508100,株式会社　チャーム・ケア・コーポレーション,,06-6445-3389,,,
576543,株式会社　チャーム・ケア・コーポレーション,,06-6445-3389,,,
583919,株式会社　チャーム・ケア・コーポレーション,,0797-85-3515,,,
670255,株式会社　チャーム・ケア・コーポレーション,,03-5292-5541,,,
670280,株式会社　チャーム・ケア・コーポレーション,,03-5347-1008,,,
74276,ガゼル株式会社,,052-253-7583,,,
549596,ガゼル株式会社,,052-253-7583,,,
549595,株式会社タチ基ケアサービス,,0561-85-5300,,,
74295,社会福祉法人ケアマキス,,052-693-5461,,,
262438,社会福祉法人ケアマキス,,052-693-5461,,,
512220,社会福祉法人ケアマキス,,052-918-2501,,,
74297,株式会社アルバ,,052-485-7258,,,
122709,株式会社アルバ,,052-485-7258,,,
262418,株式会社アルバ,,052-485-7258,,,
424356,株式会社アルバ,,052-485-7258,,,
558263,株式会社アルバ,,052-444-3488,,,
559907,株式会社アルバ,,052-485-7878,,,
586270,株式会社アルバ,,052-485-7258,,,
806752,株式会社アルバ,愛知県あま市西今宿のグループホーム,052-486-2258,,,
74648,株式会社ちくたく亭,,052-462-8301,,,
353947,株式会社ちくたく亭,,052-462-8301,,,
560025,株式会社フレンズハウス,,052-361-5090,,,
74661,株式会社　プラス,,058-389-4466,,,
549091,株式会社　プラス,,052-722-0888,,,
559399,株式会社　プラス,,0561-34-0777,,,
559400,株式会社　プラス,,052-721-3111,,,
74672,株式会社光明,,052-253-5701,,,
261620,株式会社光明,,052-253-5701,,,
549690,株式会社光明,,052-253-5701,,,
574316,スマイルナーシング株式会社,,052-307-4587,,,
806710,スマイルナーシング株式会社,スマイルナーシング株式会社,052-211-0720,,,
74686,株式会社シルバーエイド,,072-990-1710,,,
